codigo_ocorrencia2;aeronave_matricula;aeronave_tipo_equipamento;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;anv_motor_qtd;anv_motor_descricao_qtd;aeronave_pmd;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
80886;PTLLT;AVIÃO;CESSNA AIRCRAFT;550;C550;JATO;2;BIMOTOR;6033;9;1981;BRASIL;BRASIL;LÁBREA;EDUARDO GOMES;DECOLAGEM;TÁXI AÉREO;LEVE;0
80885;PPEIN;AVIÃO;NEIVA;EMB-810D;PA34;PISTÃO;2;BIMOTOR;2155;6;1985;BRASIL;BRASIL;DEPUTADO LUÍS EDUARDO MAGALHÃES;SEBASTIÃO JOSÉ PEREIRA;CORRIDA APÓS POUSO;NÃO REGULAR;SUBSTANCIAL;0
80884;PPEIX;AVIÃO;EMBRAER;EMB-110P1;E110;TURBOÉLICE;2;BIMOTOR;5670;12;1989;BRASIL;BRASIL;OIAPOQUE;ALBERTO ALCOLUMBRE;CIRCUITO DE TRÁFEGO;PRIVADA;LEVE;0
80883;PRYYI;AVIÃO;AIRBUS;A320-251N;A20N;JATO;2;BIMOTOR;79000;172;2017;BRASIL;BRASIL;MAESTRO WILSON FONSECA;VAL DE CANS / JÚLIO CEZAR RIBEIRO;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
80882;PPGCJ;AVIÃO;AERO BOERO;AB-180;AB18;PISTÃO;1;MONOMOTOR;844;2;1991;BRASIL;BRASIL;BAURU;BAURU;DECOLAGEM;PRIVADA;NENHUM;0
80882;PRKAJ;AVIÃO;GROB AIRCRAFT;TWIN ASTIR;GLID;SEM TRAÇÃO;0;SEM TRAÇÃO;650;0;1978;BRASIL;BRASIL;BAURU;BAURU;DECOLAGEM;PRIVADA;LEVE;0
80881;PRVJO;AVIÃO;CESSNA AIRCRAFT;152;C152;PISTÃO;1;MONOMOTOR;758;2;1978;BRASIL;BRASIL;SÍLVIO NAME JÚNIOR;SÍLVIO NAME JÚNIOR;CRUZEIRO;INSTRUÇÃO;NENHUM;0
80879;PTGGQ;AVIÃO;NEIVA;EMB-201;IPAN;PISTÃO;1;MONOMOTOR;1800;2;1975;BRASIL;BRASIL;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;AGRÍCOLA;SUBSTANCIAL;0
80878;PRAQA;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A;AT72;TURBOÉLICE;2;BIMOTOR;23000;75;2012;BRASIL;BRASIL;VIRACOPOS;LAURO CARNEIRO DE LOYOLA;CORRIDA APÓS POUSO;REGULAR;NENHUM;0
80877;PRYYL;AVIÃO;AIRBUS;A320-251N;A20N;JATO;2;BIMOTOR;79000;NULL;2016;BRASIL;BRASIL;PINTO MARTINS;GUARARAPES - GILBERTO FREYRE;CORRIDA APÓS POUSO;REGULAR;NENHUM;0
