ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;investigacao_aeronave_liberada;investigacao_status;divulgacao_relatorio_publicado;total_aeronaves_envolvidas;ocorrencia_saida_pista;aeronave_matricula;aeronave_tipo_equipamento;aeronave_fabricante;aeronave_modelo;aeronave_motor_tipo;anv_motor_qtd;anv_motor_descricao_qtd;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
INCIDENTE;SÃO ROQUE;SP;BRASIL;SBJH;22/03/2024;17:00:00;SIM;FINALIZADA;NÃO;1;NÃO;PRXMC;AVIÃO;BOEING;737-8 MAX;JATO;2;BIMOTOR;196;2018;BRASIL;SENADOR PETRÔNIO PORTELLA;PRESIDENTE JUSCELINO KUBITSCHEK;ESTACIONAMENTO;***;LEVE;0
INCIDENTE;SÃO PAULO;SP;BRASIL;SBSP;21/03/2024;13:44:00;SIM;FINALIZADA;NÃO;1;NÃO;PRYSG;AVIÃO;AIRBUS S.A.S.;A320-251N;JATO;2;BIMOTOR;183;2020;BRASIL;SENADOR PETRÔNIO PORTELLA;VIRACOPOS;ESTACIONAMENTO;***;LEVE;0
INCIDENTE;VITÓRIA;ES;BRASIL;SBVT;25/03/2024;13:50:00;SIM;FINALIZADA;NÃO;1;NÃO;PRBGM;HELICÓPTERO;SIKORSKY;S-92A;TURBOEIXO;2;BIMOTOR;21;2011;BRASIL;FORA DE AERODROMO;JACAREPAGUÁ;CRUZEIRO;TÁXI AÉREO;NENHUM;0
INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;25/03/2024;20:57:00;SIM;FINALIZADA;NÃO;1;NÃO;PRSDG;AVIÃO;BOEING;737-33A;JATO;2;BIMOTOR;153;1991;BRASIL;PRESIDENTE JUSCELINO KUBITSCHEK;EDUARDO GOMES;DECOLAGEM;***;NENHUM;0
INCIDENTE;RECIFE;PE;BRASIL;SBRF;26/03/2024;20:42:00;SIM;FINALIZADA;NÃO;1;NÃO;PTRNS;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-711ST;PISTÃO;1;MONOMOTOR;4;1981;BRASIL;DEPUTADO LUÍS EDUARDO MAGALHÃES;SANTA MARIA;CRUZEIRO;PRIVADA;NENHUM;0
INCIDENTE;CAMPINA GRANDE;PB;BRASIL;SBKG;25/03/2024;03:25:00;SIM;FINALIZADA;NÃO;1;NÃO;PRSDC;AVIÃO;CESSNA AIRCRAFT;182E;PISTÃO;1;MONOMOTOR;4;1962;BRASIL;SANTOS DUMONT;SANTOS DUMONT;CRUZEIRO;***;SUBSTANCIAL;0
INCIDENTE;TERESINA;PI;BRASIL;SBTE;26/03/2024;04:05:00;SIM;FINALIZADA;NÃO;1;NÃO;PRAXX;AVIÃO;EMBRAER;ERJ 190-200 IGW;JATO;2;BIMOTOR;125;2013;BRASIL;GUARARAPES - GILBERTO FREYRE;SENADOR NILO COELHO;CRUZEIRO;REGULAR;NENHUM;0
INCIDENTE;FORTALEZA;CE;BRASIL;SBFZ;24/03/2024;20:15:00;SIM;FINALIZADA;NÃO;1;NÃO;PRSLU;AVIÃO;BOEING;737-4Y0;JATO;2;BIMOTOR;5;1992;BRASIL;DEPUTADO LUÍS EDUARDO MAGALHÃES;TANCREDO NEVES;POUSO;***;NENHUM;0
INCIDENTE;PALMAS;TO;BRASIL;SBPJ;21/03/2024;19:10:00;SIM;FINALIZADA;NÃO;1;NÃO;PRSDL;AVIÃO;BOEING;737-3S3;JATO;2;BIMOTOR;6;1988;BRASIL;GUARARAPES - GILBERTO FREYRE;GOVERNADOR ANDRÉ FRANCO MONTORO;SUBIDA;***;NENHUM;0
INCIDENTE;SÃO PAULO;SP;BRASIL;SBMT;21/03/2024;21:18:00;SIM;FINALIZADA;NÃO;1;NÃO;PRXBI;AVIÃO;AIRBUS;A320;JATO;2;BIMOTOR;0;2022;BRASIL;GUARARAPES - GILBERTO FREYRE;CONGONHAS;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
INCIDENTE;SÃO PAULO;SP;BRASIL;SBSP;20/03/2024;19:09:00;SIM;FINALIZADA;NÃO;1;NÃO;PRYSF;AVIÃO;AIRBUS S.A.S.;A320-251N;JATO;2;BIMOTOR;183;2019;BRASIL;GUARARAPES - GILBERTO FREYRE;VIRACOPOS;DECOLAGEM;REGULAR;LEVE;0
INCIDENTE;CONFINS;MG;BRASIL;SBCF;19/03/2024;00:20:00;SIM;FINALIZADA;NÃO;1;NÃO;PSGPD;AVIÃO;BOEING;737-8 MAX;JATO;2;BIMOTOR;0;2018;BRASIL;CATARATAS;ANTONIO CARLOS JOBIM / GALEÃO;DESCIDA;REGULAR;LEVE;0
INCIDENTE;LONDRINA;PR;BRASIL;SBLO;22/03/2024;13:04:00;SIM;FINALIZADA;NÃO;1;NÃO;PTFEL;AVIÃO;CESSNA AIRCRAFT;525;JATO;2;BIMOTOR;NULL;1993;BRASIL;AMERICANA;ANGRA DOS REIS;POUSO;PRIVADA;SUBSTANCIAL;0
INCIDENTE;VÁRZEA GRANDE;MT;BRASIL;SBCY;02/03/2024;05:32:00;SIM;FINALIZADA;NÃO;1;NÃO;PRUEA;HELICÓPTERO;EUROCOPTER;BK 117 C-2;TURBOEIXO;2;BIMOTOR;NULL;NULL;BRASIL;FORA DE AERODROMO;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;CRUZEIRO;POLICIAL;DESTRUÍDA;6
INCIDENTE;FERNANDO DE NORONHA;PE;BRASIL;SBFN;28/02/2024;12:45:00;SIM;FINALIZADA;NÃO;1;NÃO;PSGPG;AVIÃO;BOEING;737-8 MAX;JATO;2;BIMOTOR;0;2018;BRASIL;MINISTRO VICTOR KONDER;ANTONIO CARLOS JOBIM / GALEÃO;ESTACIONAMENTO;REGULAR;NENHUM;0
INCIDENTE;SÃO JOSÉ DO RIO PRETO;SP;BRASIL;SBSR;23/03/2024;11:15:00;SIM;FINALIZADA;NÃO;1;NÃO;PRJAR;HELICÓPTERO;SIKORSKY AIRCRAFT;S-92A;TURBOEIXO;2;BIMOTOR;21;2011;BRASIL;JACAREPAGUÁ;FORA DE AERODROMO;CRUZEIRO;TÁXI AÉREO;NENHUM;0
INCIDENTE;GOIÂNIA;GO;BRASIL;SBGO;22/03/2024;02:56:00;SIM;FINALIZADA;NÃO;1;NÃO;PSSLR;AVIÃO;AIR TRACTOR;AT-502B;TURBOÉLICE;1;MONOMOTOR;NULL;NULL;BRASIL;FORA DE AERODROMO;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;CRUZEIRO;***;DESTRUÍDA;1
